maturity,df_db0,df_db1,df_db2,df_dlambda
0.25,1.0,0.7133892975598631,0.24093154652793713,-0.005132660706235826
0.5,1.0,0.508924289872955,0.34375597347515313,-0.005460011208425757
0.75,1.0,0.3630611416636195,0.36784774867416964,-0.003848933566703828
1.0,1.0,0.2590039328226915,0.3498915293808573,-0.0017646367154548885
1.5,1.0,0.13181339258609082,0.26710244718407244,0.0015482936668248745
2.0,1.0,0.0670830372176213,0.18124656434197672,0.003015333711688646
3.0,1.0,0.0173747704650549,0.07041535946275945,0.0026980814416759334
4.0,1.0,0.004500133882340764,0.024317140042637634,0.0014589477247104422
5.0,1.0,0.0011655523737549062,0.00787279363255413,0.0006430238332599389
6.0,1.0,0.00030188264871334406,0.002446901415759554,0.0002529037173383402
7.0,1.0,7.818879326768722e-05,0.000739383271562993,9.245007887050157e-05
8.0,1.0,2.0251204958991354e-05,0.00021886077165499788,3.2110545110086894e-05
9.0,1.0,5.245141728777159e-06,6.377152567416024e-05,1.0738920199366024e-05
10.0,1.0,1.3585123359656965e-06,1.8352306613011954e-05,3.4883479194715127e-06
12.0,1.0,9.11331335941843e-08,1.4773541610598516e-06,3.4486890789830496e-07
15.0,1.0,1.5834172779601401e-09,3.208586180501092e-08,9.5768891646583e-09
20.0,1.0,1.8455557669709735e-12,4.986366985440314e-11,2.028838170266235e-11
25.0,1.0,2.1510919050900667e-15,7.264839845366291e-14,3.743405851568494e-14
30.0,1.0,2.5072102761426994e-18,1.0161061592059122e-16,6.337222859959703e-17
